station_code,basin,total_muestras,muestras_con_target,coliformes_fecales_pct_completo,temp_cent_pct_completo,ph_field_pct_completo,conductivity_pct_completo,dissolve_oxygen_field_pct_completo,dbo_pct_completo,dqo_pct_completo,amonio_field_pct_completo,total_p_pct_completo,total_n_pct_completo,ssv_pct_completo,sst_pct_completo,total_s_pct_completo,per_oxida_pct_completo,tensoactivo_pct_completo,nh3_pct_completo,plomo_pct_completo,cromo_pct_completo,isca_pct_completo,ph_lab_pct_completo,dissolve_oxygen_lab_pct_completo,amonnio_lab_pct_completo
MO5,Arroyo Molino,55,54,98.2,67.3,0.0,78.2,0.0,96.4,34.5,0.0,76.4,43.6,10.9,76.4,3.6,0.0,0.0,0.0,12.7,12.7,0.0,94.5,100.0,87.3
P1,Arroyo Pantanoso,89,88,98.9,98.9,100.0,100.0,100.0,93.3,100.0,100.0,100.0,65.2,47.2,100.0,25.8,100.0,21.3,98.9,71.9,71.9,38.2,0.0,0.0,0.0
P3,Arroyo Pantanoso,89,89,100.0,98.9,100.0,100.0,100.0,97.8,98.9,100.0,100.0,60.7,46.1,98.9,25.8,98.9,21.3,98.9,73.0,73.0,38.2,0.0,0.0,0.0
P4,Arroyo Pantanoso,88,87,98.9,98.9,100.0,100.0,100.0,95.5,98.9,100.0,100.0,62.5,46.6,100.0,26.1,98.9,20.5,98.9,72.7,72.7,37.5,0.0,0.0,0.0
P5,Arroyo Pantanoso,89,85,95.5,97.8,98.9,98.9,98.9,95.5,98.9,98.9,98.9,66.3,46.1,98.9,25.8,98.9,20.2,97.8,71.9,71.9,38.2,0.0,0.0,0.0
P6,Arroyo Pantanoso,51,50,98.0,100.0,100.0,100.0,100.0,96.1,100.0,100.0,100.0,39.2,82.4,100.0,45.1,100.0,0.0,100.0,84.3,84.3,0.0,0.0,0.0,0.0
P7,Arroyo Pantanoso,50,48,96.0,100.0,100.0,100.0,100.0,96.0,100.0,98.0,100.0,40.0,82.0,100.0,46.0,100.0,0.0,98.0,84.0,84.0,0.0,0.0,0.0,0.0
P8,Arroyo Pantanoso,88,88,100.0,100.0,100.0,100.0,100.0,92.0,97.7,98.9,98.9,64.8,45.5,100.0,26.1,97.7,21.6,97.7,73.9,75.0,38.6,0.0,0.0,0.0
TO1,Arroyo Carrasco,45,45,100.0,100.0,100.0,100.0,100.0,97.8,100.0,100.0,100.0,46.7,64.4,86.7,26.7,100.0,0.0,100.0,84.4,84.4,0.0,0.0,0.0,0.0
TO2,Arroyo Carrasco,82,82,100.0,100.0,100.0,100.0,98.8,95.1,98.8,100.0,98.8,68.3,36.6,91.5,14.6,98.8,23.2,100.0,72.0,72.0,40.2,0.0,0.0,0.0
